Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
FIFO (batch blocking),0.1063,0.3983,0.0178,0.1241,2.3563,76672.2344,15.2677,c432,512,,,,
fanin_priority (batch blocking),0.1122,0.4045,0.0176,0.1298,2.4601,74164.7812,14.9209,c432,512,,,,
DependencyAware (batch blocking),0.151,0.4427,0.0176,0.1686,2.7082,66764.5,13.5484,c432,512,,,,
SJF (batch blocking),0.1098,0.4055,0.0173,0.127,2.377,75653.3438,14.7666,c432,512,,,,
FIFO (single-gate non-blocking),0.1993,0.6095,0.0305,0.2298,3.156,57347.5391,80.4979,c432,512,,,,
fanin_priority (single-gate non-blocking),0.2002,1.1279,0.0303,0.2305,3.1133,57739.5859,80.1038,c432,512,,,,
DependencyAware (single-gate non-blocking),0.266,0.9131,0.0331,0.2991,3.4755,51352.7539,79.4457,c432,512,,,,
SJF (single-gate non-blocking),0.1769,0.8606,0.0273,0.2043,2.9015,61030.7578,79.3694,c432,512,,,,
FIFO (batch non-blocking),0.1021,0.3965,0.0202,0.1223,2.3266,76714,17.1836,c432,512,,,,
fanin_priority (batch non-blocking),0.1006,0.3896,0.0217,0.1224,2.3124,76667.7422,17.2257,c432,512,,,,
DependencyAware (batch non-blocking),0.0977,0.3757,0.0609,0.1586,2.5376,69904.6953,26.59,c432,512,,,,
SJF (batch non-blocking),0.0976,0.3796,0.0213,0.1189,2.2505,78742.2891,17.3784,c432,512,,,,
level-level task execution,0.0091,0.0139,0.0155,0.0246,0.1997,900951,62.0258,c432,512,,,,
FIFO (batch blocking),1.7356,5.6827,0.026,1.7615,31.3206,23743.2305,1.6556,imbalanced_2,512,0.9943,68.3739,176.3709,132.9291
fanin_priority (batch blocking),1.7534,5.7781,0.0258,1.7792,31.4358,23707.002,1.6257,imbalanced_2,512,0.9941,69.2418,176.12,134.8302
DependencyAware (batch blocking),2.2863,6.6098,0.0264,2.3127,35.7809,20742.0742,1.4996,imbalanced_2,512,0.9951,86.7027,211.6262,158.114
SJF (batch blocking),1.7851,5.8324,0.028,1.8131,32.2386,23019.3359,1.7559,imbalanced_2,512,0.994,66.3202,170.994,129.1142
FIFO (single-gate non-blocking),2.2267,6.6152,0.0757,2.3023,34.5501,21525.4492,77.7381,imbalanced_2,512,0.9971,52.258,376.6873,87.172
fanin_priority (single-gate non-blocking),1.5595,27.3744,0.0752,1.6346,34.3342,21615.0586,77.6905,imbalanced_2,512,0.9903,21.3527,328.0126,27.6861
DependencyAware (single-gate non-blocking),4.2088,28.7557,0.0944,4.3032,43.6202,16961.4121,77.0557,imbalanced_2,512,1,50.3281,497.7192,76.6402
SJF (single-gate non-blocking),1.6256,12.0148,0.0751,1.7007,34.3122,21619.252,77.6926,imbalanced_2,512,0.9702,34.8039,581.1821,56.676
FIFO (batch non-blocking),1.6781,5.4667,0.0335,1.7115,30.7467,24108.5215,1.9916,imbalanced_2,512,0.994,58.2174,146.4113,114.0196
fanin_priority (batch non-blocking),1.6699,5.5963,0.0487,1.7187,30.2509,24402.0508,2.4405,imbalanced_2,512,0.9942,41.3581,99.3494,82.1341
DependencyAware (batch non-blocking),1.7569,6.1015,0.5809,2.3378,35.4579,20931.2148,14.0389,imbalanced_2,512,0.9956,10.2707,62.1898,21.2906
SJF (batch non-blocking),1.6626,5.5312,0.0467,1.7094,30.1883,24496.6094,2.431,imbalanced_2,512,0.9942,41.9405,99.4555,83.0283
level-level task execution,0.0348,0.0642,0.0238,0.0586,0.4356,1719050,68.0286,imbalanced_2,512,0.9945,2.8434,5.2621,5.275
FIFO (batch blocking),4.4015,9.3851,0.0281,4.4296,83.2547,14381.4346,0.8413,balanced_1,512,0.9944,158.2067,344.9499,338.144
fanin_priority (batch blocking),4.4709,9.8206,0.0272,4.4981,84.8084,14189.2686,0.8265,balanced_1,512,0.9944,165.6542,349.3972,350.9826
DependencyAware (batch blocking),5.2282,10.5562,0.0279,5.2561,93.7374,12883.7949,0.7167,balanced_1,512,0.9954,186.6745,369.3524,390.777
SJF (batch blocking),4.4792,9.4877,0.0265,4.5056,85.1087,14167.2217,0.8009,balanced_1,512,0.9944,171.7259,369.0504,365.9296
FIFO (single-gate non-blocking),5.1174,12.1652,0.1218,5.2392,92.229,13016.5713,76.8251,balanced_1,512,0.9965,97.9757,668.0798,191.4115
fanin_priority (single-gate non-blocking),2.3353,69.6959,0.1207,2.456,91.6451,13080.5664,76.7228,balanced_1,512,0.9869,25.2325,841.1123,39.4765
DependencyAware (single-gate non-blocking),10.9585,90.1486,0.1483,11.1067,113.3973,10565.8525,76.2961,balanced_1,512,1,82.2821,522.3627,159.3431
SJF (single-gate non-blocking),4.0118,52.6161,0.1173,4.1291,89.2031,13448.2549,76.6625,balanced_1,512,0.9652,61.3742,2789.1548,136.1155
FIFO (batch non-blocking),4.3995,9.647,0.0337,4.4332,83.9474,14330.9951,0.9562,balanced_1,512,0.9943,135.2982,284.0467,289.3218
fanin_priority (batch non-blocking),4.4782,9.5708,0.0594,4.5375,85.0609,14147.7363,1.3705,balanced_1,512,0.9947,80.3344,170.986,172.9053
DependencyAware (batch non-blocking),4.4989,9.7882,0.7965,5.2954,94.7063,12757.1182,10.6639,balanced_1,512,0.9954,12.9275,90.6446,28.5559
SJF (batch non-blocking),4.5522,9.8722,0.0625,4.6147,86.7802,13942.4404,1.4029,balanced_1,512,0.9946,77.7841,172.9668,167.5892
level-level task execution,0.0389,0.0561,0.0215,0.0604,0.4525,2671131.75,68.5011,balanced_1,512,0.9986,3.2355,4.7369,6.6693
FIFO (batch blocking),0.3402,1.2598,0.0221,0.3623,6.2998,49986.4375,7.6224,c880,32,,,,
fanin_priority (batch blocking),0.3804,1.9485,0.0222,0.4026,6.6072,48220.6758,7.1297,c880,32,,,,
DependencyAware (batch blocking),0.4939,1.5937,0.0231,0.5169,7.4767,42393.8828,6.6861,c880,32,,,,
SJF (batch blocking),0.3407,1.9239,0.0226,0.3632,6.4683,48484.2734,7.8902,c880,32,,,,
FIFO (single-gate non-blocking),0.4768,1.4459,0.0455,0.5223,8.2426,39173.9805,80.3613,c880,32,,,,
fanin_priority (single-gate non-blocking),0.5365,4.6459,0.0471,0.5836,8.9508,38361.1523,79.7195,c880,32,,,,
DependencyAware (single-gate non-blocking),1.0845,7.0485,0.0548,1.1394,10.0372,31272.4844,79.3256,c880,32,,,,
SJF (single-gate non-blocking),0.3803,2.2017,0.044,0.4243,7.9909,39566.6914,79.8172,c880,32,,,,
FIFO (batch non-blocking),0.268,1.0862,0.0864,0.3544,5.9985,52219.7031,27.6499,c880,32,,,,
fanin_priority (batch non-blocking),0.2746,1.1031,0.0894,0.364,6.0818,51475.2734,28.1857,c880,32,,,,
DependencyAware (batch non-blocking),0.3233,1.1173,0.1773,0.5005,7.194,44479.4688,38.3417,c880,32,,,,
SJF (batch non-blocking),0.265,1.1092,0.0898,0.3548,6.0398,51671.6562,28.5419,c880,32,,,,
level-level task execution,0.0122,0.0153,0.0184,0.0306,0.1754,1806333.625,60.912,c880,32,,,,
FIFO (batch blocking),1.6423,5.3064,0.0224,1.6647,29.4759,24930.6992,1.5028,imbalanced_2,128,0.9945,72.0377,174.3991,139.4561
fanin_priority (batch blocking),1.6892,5.1921,0.0227,1.7119,29.7685,24737.6367,1.5531,imbalanced_2,128,0.9942,74.0357,192.8275,142.6683
DependencyAware (batch blocking),2.1265,7.6964,0.0217,2.1482,32.9983,22214.8477,1.3323,imbalanced_2,128,0.9949,94.6686,267.3753,172.1255
SJF (batch blocking),1.675,5.1,0.0235,1.6984,29.6217,24877.8555,1.5787,imbalanced_2,128,0.9943,72.5082,188.0259,139.69
FIFO (single-gate non-blocking),2.0768,6.032,0.0719,2.1486,32.6713,22453.1348,77.8238,imbalanced_2,128,0.9971,52.31,373.678,87.1213
fanin_priority (single-gate non-blocking),1.4887,26.3243,0.0724,1.5611,32.9573,22258.0117,77.8399,imbalanced_2,128,0.9904,21.3151,352.9206,27.6944
DependencyAware (single-gate non-blocking),4.1469,28.1734,0.093,4.2398,42.9225,17129.2988,77.0941,imbalanced_2,128,1,50.6366,510.1421,76.9618
SJF (single-gate non-blocking),1.5541,11.3428,0.0715,1.6256,32.7177,22412.1914,77.4949,imbalanced_2,128,0.9699,35.4292,579.6098,57.7114
FIFO (batch non-blocking),1.5794,5.4346,0.0915,1.6709,29.6891,24786.8945,18.8639,imbalanced_2,128,0.9942,61.1085,156.3108,119.4887
fanin_priority (batch non-blocking),1.5898,5.4021,0.1074,1.6972,29.2708,25047.1816,19.6413,imbalanced_2,128,0.9942,41.6626,101.0273,82.79
DependencyAware (batch non-blocking),1.6222,5.3822,0.5912,2.2134,33.8577,21670.6602,28.9831,imbalanced_2,128,0.9952,10.0626,56.0372,20.8072
SJF (batch non-blocking),1.5844,5.4025,0.1064,1.6908,29.142,25158.3105,19.6844,imbalanced_2,128,0.9942,41.2407,100.2154,82.1338
level-level task execution,0.0349,0.0683,0.0236,0.0585,0.4319,1706094.75,67.52,imbalanced_2,128,0.9941,2.9193,5.7576,5.4119
FIFO (batch blocking),4.5525,14.6597,0.0291,4.5816,85.6705,14074.2832,0.8454,balanced_1,128,0.9946,157.2277,449.7405,334.5211
fanin_priority (batch blocking),4.4638,15.215,0.0287,4.4926,86.6902,13932.2168,0.85,balanced_1,128,0.9933,157.0615,482.9711,329.9037
DependencyAware (batch blocking),5.2151,17.416,0.028,5.2431,93.4688,12813.501,0.7472,balanced_1,128,0.9954,187.5763,598.6458,391.3253
SJF (batch blocking),4.5319,14.839,0.0281,4.56,84.8552,14095.9248,0.817,balanced_1,128,0.9945,163.9392,480.9952,349.4568
FIFO (single-gate non-blocking),5.0092,11.8253,0.1194,5.1285,90.502,13235.6064,76.743,balanced_1,128,0.9965,98.694,663.013,193.1771
fanin_priority (single-gate non-blocking),2.4117,71.992,0.1238,2.5354,94.0145,12843.9355,76.7097,balanced_1,128,0.9876,24.9881,879.8806,38.9675
DependencyAware (single-gate non-blocking),11.5649,95.7179,0.1573,11.7222,120.1534,10035.1367,76.4322,balanced_1,128,0.9999,81.9471,521.9969,158.6737
SJF (single-gate non-blocking),4.3598,57.3205,0.1273,4.4871,96.7129,12450.5332,76.7804,balanced_1,128,0.9651,59.2712,2545.843,131.6164
FIFO (batch non-blocking),4.4694,9.8305,0.0972,4.5666,84.9124,14184.1221,11.7209,balanced_1,128,0.9947,131.0232,287.9481,279.7455
fanin_priority (batch non-blocking),4.4051,10.4001,0.1234,4.5285,86.4302,14019.2715,12.3294,balanced_1,128,0.9946,77.62,174.4914,167.7934
DependencyAware (batch non-blocking),4.4844,9.9281,0.8415,5.326,94.3232,12780.4355,20.295,balanced_1,128,0.9956,12.8979,89.6889,28.4594
SJF (batch non-blocking),4.4565,9.803,0.1217,4.5782,85.638,14036.2061,12.0797,balanced_1,128,0.9944,77.3353,162.9484,166.1378
level-level task execution,0.0401,0.0617,0.0219,0.062,0.45,2671661.5,69.2588,balanced_1,128,0.9987,3.3051,5.0742,6.8259
FIFO (batch blocking),10.4541,26.1619,0.0323,10.4864,169.8024,10382.1045,0.4054,imbalanced_4,128,0.8764,322.0017,856.5809,598.3014
fanin_priority (batch blocking),9.6432,49.4385,0.0312,9.6744,173.1301,10212.5303,0.4185,imbalanced_4,128,0.926,312.9245,1537.4156,565.0465
DependencyAware (batch blocking),16.5836,93.11,0.0345,16.618,207.3709,8576.2939,0.3533,imbalanced_4,128,0.9644,474.1898,2561.9355,800.3932
SJF (batch blocking),10.6139,90.114,0.0324,10.6463,175.6934,10127.4609,0.4135,imbalanced_4,128,0.9063,329.6081,2676.9055,645.3006
FIFO (single-gate non-blocking),11.9777,25.4312,0.1651,12.1428,186.4427,9523.8916,76.3892,imbalanced_4,128,0.8888,207.1521,1413.9575,372.8814
fanin_priority (single-gate non-blocking),6.6814,132.6123,0.1673,6.8487,188.8825,9391.5801,76.4482,imbalanced_4,128,0.9124,51.2834,6584.3252,59.6792
DependencyAware (single-gate non-blocking),24.2896,204.1747,0.2129,24.5025,242.8697,7278.0093,75.8399,imbalanced_4,128,0.9997,131.3974,2514.3594,189.5499
SJF (single-gate non-blocking),9.6178,152.8413,0.164,9.7818,186.2155,9569.334,76.2054,imbalanced_4,128,0.9407,121.3557,6316.5088,231.4772
FIFO (batch non-blocking),8.9226,23.9988,1.8013,10.7239,173.1125,10239.9121,29.5178,imbalanced_4,128,0.8909,188.1033,421.6929,372.394
fanin_priority (batch non-blocking),9.0488,24.956,1.8775,10.9263,180.2055,9910.2803,29.3984,imbalanced_4,128,0.9155,100.4776,219.3016,204.62
DependencyAware (batch non-blocking),10.5406,24.9728,3.4475,13.9881,199.8646,8882.252,37.5613,imbalanced_4,128,0.9291,11.9152,63.5512,23.4922
SJF (batch non-blocking),9.1182,24.7325,1.8843,11.0025,175.7439,10074.9785,30.1073,imbalanced_4,128,0.8921,101.4082,207.0038,195.7826
level-level task execution,0.0439,0.0617,0.0187,0.0626,0.3945,4506019,68.4058,imbalanced_4,128,0.9684,3.5383,4.8596,6.4149
FIFO (batch blocking),21.7779,42.9261,0.0249,21.8027,335.9735,7205.1265,0.6102,imbalanced_5,32,0.9999,953.749,2246.9087,1799.6891
fanin_priority (batch blocking),11.9522,256.6619,0.0244,11.9766,338.3792,7183.2056,0.6098,imbalanced_5,32,0.9998,530.823,11832.7158,730.578
